Standard Make,Standard Model,Confirmed Model Years,First Confirmed Model Year,Last Confirmed Model Year,Lifecycle Status,Vehicle Category,Market,Present in Original Source,Catalog Origin,Validation Status,Primary Source Name,Primary Source URL,Secondary Source Name,Secondary Source URL,Source Access Date,Notes,Source Organization Count,Source Dataset Count
AMC,Eagle,1980-1987,1980,1987,Discontinued,SUV/Crossover,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1982&make=AMC&issueType=r,2026-07-15,"Model year(s) [1980, 1981] added in V3 from the official EPA 1980-1983 historical dataset.",2,3
AMC,Eagle SX,1983-1984,1983,1984,Discontinued,SUV/Crossover,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,Model year(s) [1983] added in V3 from the official EPA 1980-1983 historical dataset.,1,2
Acura,ADX,2025-2026,2025,2026,Active,Passenger Car,United States,No,Added - Missing Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2025&make=ACURA&issueType=r,2026-07-15,,2,2
Acura,CL,1997-2004,1997,2004,Discontinued,Passenger Car,United States,Yes,Original Source,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1997&make=ACURA&issueType=r,2026-07-15,,2,2
Acura,ILX,2013-2022,2013,2022,Discontinued,Passenger Car,United States,No,Added - Missing Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2013&make=ACURA&issueType=r,2026-07-15,,2,2
Acura,Integra,1986-2001; 2023-2026,1986,2026,Active,Passenger Car,United States,No,Added - Missing Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1986&make=ACURA&issueType=r,2026-07-15,"Non-contiguous confirmed model years reflect the verified records; gaps are preserved, not bridged.",2,2
Acura,Legend,1986-1995,1986,1995,Discontinued,Passenger Car,United States,No,Added - Missing Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1986&make=ACURA&issueType=r,2026-07-15,,2,2
Acura,MDX,2001-2020; 2022-2026,2001,2026,Active,SUV/Crossover,United States,Yes,Original Source,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2001&make=ACURA&issueType=r,2026-07-15,"Non-contiguous confirmed model years reflect the verified records; gaps are preserved, not bridged.",2,2
Acura,NSX,1991-1996; 1998-2005; 2017-2022,1991,2022,Discontinued,Passenger Car,United States,No,Added - Missing Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1991&make=ACURA&issueType=r,2026-07-15,"Non-contiguous confirmed model years reflect the verified records; gaps are preserved, not bridged.",2,2
Acura,RDX,2007-2026,2007,2026,Active,SUV/Crossover,United States,Yes,Original Source,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2007&make=ACURA&issueType=r,2026-07-15,,2,2
Acura,RL,1996-2012; 2015,1996,2015,Discontinued,Passenger Car,United States,Yes,Original Source,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1996&make=ACURA&issueType=r,2026-07-15,"Non-contiguous confirmed model years reflect the verified records; gaps are preserved, not bridged.",2,2
Acura,RLX,2014-2020,2014,2020,Discontinued,Passenger Car,United States,No,Added - Missing Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2014&make=ACURA&issueType=r,2026-07-15,,2,2
Acura,RSX,2001-2008,2001,2008,Discontinued,Passenger Car,United States,No,Added - Missing Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2001&make=ACURA&issueType=r,2026-07-15,,2,2
Acura,SLX,1995-2000,1995,2000,Discontinued,SUV/Crossover,United States,No,Added - Missing Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1995&make=ACURA&issueType=r,2026-07-15,,2,2
Acura,TL,1995-2014,1995,2014,Discontinued,Passenger Car,United States,Yes,Original Source,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1995&make=ACURA&issueType=r,2026-07-15,,2,2
Acura,TLX,2012; 2015-2025,2012,2025,Active,Passenger Car,United States,No,Added - Missing Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2012&make=ACURA&issueType=r,2026-07-15,"Non-contiguous confirmed model years reflect the verified records; gaps are preserved, not bridged.",2,2
Acura,TSX,2004-2014,2004,2014,Discontinued,Passenger Car,United States,Yes,Original Source,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2004&make=ACURA&issueType=r,2026-07-15,,2,2
Acura,Vigor,1992-1994,1992,1994,Discontinued,Passenger Car,United States,No,Added - Missing Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1992&make=ACURA&issueType=r,2026-07-15,,2,2
Acura,ZDX,2010-2013; 2024; 2026,2010,2026,Active,SUV/Crossover,United States,No,Added - Missing Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2010&make=ACURA&issueType=r,2026-07-15,"Non-contiguous confirmed model years reflect the verified records; gaps are preserved, not bridged.",2,2
Alfa Romeo,164,1991-1995,1991,1995,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1991&make=ALFA%20ROMEO&issueType=r,2026-07-15,,2,2
Alfa Romeo,4C,2015-2020,2015,2020,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2015&make=ALFA%20ROMEO&issueType=r,2026-07-15,,2,2
Alfa Romeo,8 C,2009,2009,2009,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
Alfa Romeo,GT V6,1981-1985,1981,1985,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA vPIC (VIN product data),https://vpic.nhtsa.dot.gov/api/vehicles/GetModelsForMake/Alfa%20Romeo?format=json,2026-07-15,"Upgraded to Fully Verified in V2: independently confirmed by NHTSA vPIC product data. Model year(s) [1981, 1982, 1983] added in V3 from the official EPA 1980-1983 historical dataset.",2,3
Alfa Romeo,GTV,1986-1987,1986,1987,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
Alfa Romeo,Giulia,2017-2026,2017,2026,Active,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2017&make=ALFA%20ROMEO&issueType=r,2026-07-15,,2,2
Alfa Romeo,Milano,1987-1989,1987,1989,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1987&make=ALFA%20ROMEO&issueType=r,2026-07-15,,2,2
Alfa Romeo,Spider,1986-1994,1986,1994,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1986&make=ALFA%20ROMEO&issueType=r,2026-07-15,,2,2
Alfa Romeo,Spider Veloce 2000,1983-1985,1983,1985,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,Model year(s) [1983] added in V3 from the official EPA 1980-1983 historical dataset.,1,2
Alfa Romeo,Stelvio,2018-2026,2018,2026,Active,SUV/Crossover,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2018&make=ALFA%20ROMEO&issueType=r,2026-07-15,,2,2
Alfa Romeo,Tonale,2024-2026,2024,2026,Active,SUV/Crossover,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2024&make=ALFA%20ROMEO&issueType=r,2026-07-15,,2,2
Alfa Romeo,Tonale Eawd,2024-2025,2024,2025,Active,SUV/Crossover,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
Aston Martin,DB AR1,2003,2003,2003,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
Aston Martin,DB-7,1997-1998; 2000; 2003,1997,2003,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA vPIC (VIN product data),https://vpic.nhtsa.dot.gov/api/vehicles/GetModelsForMake/Aston%20Martin?format=json,2026-07-15,Upgraded to Fully Verified in V2: independently confirmed by NHTSA vPIC product data.,2,2
Aston Martin,DB-7 Vantage,2000; 2003,2000,2003,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,"Non-contiguous confirmed model years reflect the verified records; gaps are preserved, not bridged.",1,1
Aston Martin,DB11 V12,2017-2023,2017,2023,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
Aston Martin,DB11 V8,2018-2023,2018,2023,Discontinued,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
Aston Martin,DB12 S,2026,2026,2026,Active,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
Aston Martin,DB12 V8,2024-2026,2024,2026,Active,Passenger Car,United States,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-15,,1,1
