Model Year,Standard Make,Standard Model,Standard Hierarchy Value,Classification Type,Validation Status,Primary Source Organization,Primary Source Document,Primary Source URL,Notes
1980,GMC,Sonoma,S15,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1980,Mazda,B-Series,B2000,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1981,Dodge,Ram 150-350 (D/W Series),D150,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1981,Dodge,Ram Van,B150,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1981,Dodge,Ram Van,B250,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1982,Chevrolet,Chevy Van (G-Series),G30,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1982,Dodge,Ram Van,B150,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1983,Chevrolet,Chevy Van (G-Series),G30,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1983,Chrysler,Town & Country,AND,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1983,Dodge,Ram 150-350 (D/W Series),W250,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Audi,Coupe,GT,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Chevrolet,Chevy Van (G-Series),G10,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Chevrolet,Chevy Van (G-Series),G30,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Chevrolet,Chevy Van (G-Series),Sport,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Chevrolet,S-10,T10,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Chrysler,Town & Country,AND,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Dodge,Ram 150-350 (D/W Series),D100,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Dodge,Ram 150-350 (D/W Series),D150,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Dodge,Ram 150-350 (D/W Series),D250,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Dodge,Ram 150-350 (D/W Series),W100,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Dodge,Ram 150-350 (D/W Series),W150,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Dodge,Ram 150-350 (D/W Series),W250,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
1984,Dodge,Ram 50,Power,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
