Candidate ID,Standard Make,Standard Model,Candidate Value,Candidate Model Years,Proposed Canonical Value,Proposed Classification,Confirmed Model Years,US Market Confirmed,Primary Source Organization,Primary Source Document,Primary Source URL,Secondary Source Organization,Secondary Source Document,Secondary Source URL,Source Access Date,Official Naming Evidence,Research Outcome,Version 4 Action,Notes
HP-001,Acura,MDX,Sport,2017-2020,Sport Hybrid,Sub-model,2017-2020,Yes,"Acura (American Honda Motor Co., Inc.)",Acura Electrifies SUV Lineup with Powerful and Efficient 2017 MDX Sport Hybrid (official press release; inspected 2026-07-18),https://acuranews.com/en-US/releases/release-ecb7d1f3ec084c759f624ced3dcc1d43-acura-electrifies-suv-lineup-with-powerful-and-efficient-2017-mdx-sport-hybrid,,,,2026-07-18,Official designation is 'MDX Sport Hybrid' (2017-2020); the recall-string residual 'Sport' is a fragment of this sub-model name.,Approved as Sub-model,Added to the vehicle hierarchy catalog (manufacturer document).,Official designation is 'MDX Sport Hybrid' (2017-2020); the recall-string residual 'Sport' is a fragment of this sub-model name.
HP-002,Acura,RLX,Sport,2014; 2016; 2018,Sport Hybrid,Sub-model,2014; 2016; 2018,Yes,"Acura (American Honda Motor Co., Inc.)","2017 MDX Sport Hybrid press release, which documents the Sport Hybrid SH-AWD system as 'first offered in the RLX Sport Hybrid' (inspected 2026-07-18)",https://acuranews.com/en-US/releases/release-ecb7d1f3ec084c759f624ced3dcc1d43-acura-electrifies-suv-lineup-with-powerful-and-efficient-2017-mdx-sport-hybrid,,,,2026-07-18,Official designation 'RLX Sport Hybrid'; candidate years match the RLX Sport Hybrid availability.,Approved as Sub-model,Added to the vehicle hierarchy catalog (manufacturer document).,Official designation 'RLX Sport Hybrid'; candidate years match the RLX Sport Hybrid availability.
HP-003,Acura,TSX,Sport,2011-2012,Sport Wagon,Sub-model,2011-2012,Yes,"Acura (American Honda Motor Co., Inc.)",Acura TSX Receives Numerous Updates and All-New Sport Wagon Model for 2011 (official press release),https://acuranews.com/en-US/releases/release-164e42d0f9a640e79f8dee69077ba28a-acura-tsx-receives-numerous-updates-and-all-new-sport-wagon-model-for,,,,2026-07-18,"Official designation 'TSX Sport Wagon', announced by Acura as an all-new model variant for 2011.",Approved as Sub-model,Added to the vehicle hierarchy catalog (manufacturer document).,"Official designation 'TSX Sport Wagon', announced by Acura as an all-new model variant for 2011."
HP-004,GMC,Acadia,Denali,2013-2017,Denali,Trim,2013-2017,Yes,GMC (General Motors),GMC Newsroom: 'GMC celebrates 25 years of Denali as sales reach 2 million vehicles' - Denali described as GMC's premium trim level (newsroom inspected 2026-07-18); Acadia Denali lineage confirmed by 'GMC introduces first ever Acadia Denali Ultimate for 2026',https://news.gmc.com,,,,2026-07-18,Denali is GMC's official premium trim; Acadia Denali offered from MY2011 onward - candidate years 2013-2017 are within that range.,Approved as Trim,Added to the vehicle hierarchy catalog (manufacturer document).,Denali is GMC's official premium trim; Acadia Denali offered from MY2011 onward - candidate years 2013-2017 are within that range.
HP-005,GMC,Sierra 1500,Limited,2022,Limited,Edition,2022,Yes,GMC (GMC Truck Communications),"2022 Sierra 1500 Limited model-year designation, announced via GMC Truck Communications (as quoted by GM Authority trade coverage); NHTSA recall products name 'SIERRA 1500 LIMITED' directly",https://gmauthority.com/blog/2021/07/refreshed-2022-gmc-sierra-1500-delayed-limited-model-to-be-introduced/,,,,2026-07-18,Official GMC carryover model-year designation for MY2022 only; not a trim level (its own trims were Pro/SLE/Elevation/SLT/AT4/Denali).,Approved as Edition,Added to the vehicle hierarchy catalog (manufacturer document).,Official GMC carryover model-year designation for MY2022 only; not a trim level (its own trims were Pro/SLE/Elevation/SLT/AT4/Denali).
HP-006,Genesis,G80,Sport,2018-2019,Sport,Trim,2018-2019,Yes,Genesis Motor America,Genesis Debuts 2018 G80 Sport Trim with 3.3-Liter Turbocharged Engine and Performance Styling (official Genesis newsroom),https://www.genesisnewsusa.com/en-us/releases/18,,,,2026-07-18,Official release names the 'G80 Sport trim' explicitly (also styled '3.3T Sport'); US retail deliveries from May 2017 (MY2018).,Approved as Trim,Added to the vehicle hierarchy catalog (manufacturer document).,Official release names the 'G80 Sport trim' explicitly (also styled '3.3T Sport'); US retail deliveries from May 2017 (MY2018).
HP-007,Mini,Clubman,JCW,2010-2014,,Trim,,N/A,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,,,,2026-07-18,JCW abbreviates the official John Cooper Works trim. Candidate matches the already-approved canonical value 'John Cooper Works' for this model; recall records serve as supporting evidence only and do not extend its approved years.,Duplicate of Existing Canonical Value,No new record; candidate closed against the existing canonical value 'John Cooper Works'.,JCW abbreviates the official John Cooper Works trim. Candidate matches the already-approved canonical value 'John Cooper Works' for this model; recall records serve as supporting evidence only and do not extend its approved years.
HP-008,Mini,Coupe,JCW,2012-2014,,Trim,,N/A,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,,,,2026-07-18,JCW abbreviates the official John Cooper Works trim. Candidate matches the already-approved canonical value 'John Cooper Works' for this model; recall records serve as supporting evidence only and do not extend its approved years.,Duplicate of Existing Canonical Value,No new record; candidate closed against the existing canonical value 'John Cooper Works'.,JCW abbreviates the official John Cooper Works trim. Candidate matches the already-approved canonical value 'John Cooper Works' for this model; recall records serve as supporting evidence only and do not extend its approved years.
HP-009,Mini,Roadster,JCW,2012-2015,,Trim,,N/A,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,,,,2026-07-18,JCW abbreviates the official John Cooper Works trim. Candidate matches the already-approved canonical value 'John Cooper Works' for this model; recall records serve as supporting evidence only and do not extend its approved years.,Duplicate of Existing Canonical Value,No new record; candidate closed against the existing canonical value 'John Cooper Works'.,JCW abbreviates the official John Cooper Works trim. Candidate matches the already-approved canonical value 'John Cooper Works' for this model; recall records serve as supporting evidence only and do not extend its approved years.
HP-010,Porsche,Panamera,Platinum,2023,Platinum Edition,Edition,2023,Yes,Porsche Cars North America,Elegant and exclusive: Panamera Platinum Edition (Porsche Newsroom USA),https://newsroom.porsche.com/en_US/2021/products/porsche-panamera-platinum-edition-special-series-26366.html,,,,2026-07-18,Official special-series designation 'Platinum Edition' (US MY2022-2023); candidate year 2023 within range.,Approved as Edition,Added to the vehicle hierarchy catalog (manufacturer document).,Official special-series designation 'Platinum Edition' (US MY2022-2023); candidate year 2023 within range.
