Raw or Alias Make,Raw or Alias Model,Canonical Make,Canonical Model,Alias Type,Source File or Source Name,Confidence,Notes
BMW,3 Series E46,BMW,3 Series,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,E46 generation (1999-2006) of the 3 Series.
BMW,323i,BMW,3 Series,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Buick,Rainier (CXL Plus) (1st Generation),Buick,Rainier,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Possible Duplicate).
Cadillac,Escalade Platinum,Cadillac,Escalade,Model and Trim Combined,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Chevrolet,Avalanche LTZ,Chevrolet,Avalanche,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Chevrolet,Camaro Z28,Chevrolet,Camaro,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Chevrolet,Corvette C5,Chevrolet,Corvette,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Chevrolet,Corvette C6,Chevrolet,Corvette,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Chevrolet,Escalade,Cadillac,Escalade,Cross-Brand Conflict,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Escalade is a Cadillac model; it appears under Cadillac in the same source file. Documented cross-brand conflict from the Model review; not silently normalized - mapping retained here for traceability.
Chevrolet,Express Cargo Van,Chevrolet,Express,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Chevrolet,GMC Sierra,GMC,Sierra 1500; Sierra 2500; Sierra 3500,Cross-Brand Conflict,USF GENERATOR - MakeModel.csv via Model_Review.csv,Medium,"Sierra is a GMC model (the raw value even carries the GMC prefix); size not specified in the source, so the mapping fans out to the Sierra size range. Documented cross-brand conflict from the Model review."
Chevrolet,Silverado,Chevrolet,Silverado 1500; Silverado 2500; Silverado 3500,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Series-level source value.
Chevrolet,Silverado High Country,Chevrolet,Silverado 1500,Model and Trim Combined,USF GENERATOR - MakeModel.csv via Model_Review.csv,Medium,High Country trim; offered across sizes but most commonly the 1500 - size not stated in source.
Chevrolet,Trailblazer,Chevrolet,TrailBlazer,Capitalization Variant,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Differs from canonical only by capitalization.
Chrysler,Town & Country (RS),Chrysler,Town & Country,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Possible Duplicate).
Dodge,1500 2500 3500 Promaster,Ram,ProMaster,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,ProMaster vans are sold under the Ram brand (2014+); size designations 1500/2500/3500 fold into the ProMaster line.
Dodge,1500 ST HEMI,Dodge,Ram 1500,Model and Trim Combined,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Ram 1500 with ST trim and HEMI engine descriptor.
Dodge,Dakota Laramie,Dodge,Dakota,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Dodge,Dakota SLT BigHorn,Dodge,Dakota,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Normalized Spacing).
Dodge,Dodge Ram 1500 2500 3500 4500 5500 Laramie,Dodge,Ram 1500; Ram 2500; Ram 3500,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Grouped Dodge-era Ram sizes; 4500/5500 are chassis-cab (excluded class) and are documented in the grouped-relationship file only.
Dodge,Dodge Ram Laramie Limited,Dodge,Ram 1500; Ram 2500; Ram 3500,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,Medium,Duplicate of 'Ram Laramie Limited' with redundant make prefix; fans out to the Ram size range.
Dodge,Durango Limited,Dodge,Durango,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Dodge,Durango RT,Dodge,Durango,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Normalized Punctuation).
Dodge,Ram,Dodge,Ram 1500; Ram 2500; Ram 3500,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,Medium,Series-level source value covering the Dodge-era Ram pickup range.
Dodge,Ram 1500 2500 3500 4500 5500 SLT,Dodge,Ram 1500; Ram 2500; Ram 3500,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Grouped Dodge-era Ram sizes with SLT trim; 4500/5500 chassis-cab excluded from the master catalog.
Dodge,Ram 1500 2500 3500 SLT,Dodge,Ram 1500; Ram 2500; Ram 3500,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Grouped Dodge-era Ram sizes; SLT trim stripped.
Dodge,Ram 1500 2500 Laramie,Dodge,Ram 1500; Ram 2500,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Grouped Dodge-era Ram sizes; Laramie trim stripped.
Dodge,Ram 1500 Laramie,Dodge,Ram 1500,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Dodge,Ram 1500 Regular Laramie,Dodge,Ram 1500,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Dodge,Ram 1500 ST,Dodge,Ram 1500,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Dodge,Ram 1500 ST Laramie,Dodge,Ram 1500,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Dodge,Ram 2500 3500,Dodge,Ram 2500; Ram 3500,Multi-Model Compatibility Group,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Grouped Dodge-era Ram sizes.
Dodge,Ram 2500 Laramie,Dodge,Ram 2500,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Dodge,Ram 2500 ST,Dodge,Ram 2500,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
Dodge,Ram 3500 Laramie,Dodge,Ram 3500,Other Verified Alias,USF GENERATOR - MakeModel.csv via Model_Review.csv,High,Normalized during the Model review stage (status: Approved).
