Standard Make,Standard Model,Standard Sub-model or Variant,Classification Type,Confirmed Model Years,First Confirmed Model Year,Last Confirmed Model Year,Non-Contiguous Year Segments,Lifecycle Status,Vehicle Category,Market,Validation Status,Primary Source Name,Primary Source URL,Secondary Source Name,Secondary Source URL,Source Access Date,Catalog Origin,Present in Original Source,Raw Source Value,Notes
Acura,Integra,A-Spec,Trim,2023-2026,2023,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Integra A-Spec,Value explicit in EPA certification model strings; observed in 4 model year(s).
Acura,MDX,A-Spec,Trim,2019-2020,2019,2020,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,MDX AWD A-SPEC,Value explicit in EPA certification model strings; observed in 2 model year(s).
Acura,MDX,Type S,Trim,2022-2026,2022,2026,1,Active,SUV/Crossover,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2022&make=ACURA&issueType=r,2026-07-18,Added - External Research (V2),No,MDX AWD Type-S,Value explicit in EPA certification model strings and NHTSA recall records; observed in 5 model year(s).
Acura,RDX,A-Spec,Trim,2019-2026,2019,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,RDX AWD A-SPEC,Value explicit in EPA certification model strings; observed in 8 model year(s).
Acura,TLX,A-Spec,Trim,2018-2025,2018,2025,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,TLX AWD A-SPEC,Value explicit in EPA certification model strings; observed in 8 model year(s).
Acura,TLX,Type S,Trim,2021-2025,2021,2025,1,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2021&make=ACURA&issueType=r,2026-07-18,Added - External Research (V2),No,TLX TYPE S,Value explicit in EPA certification model strings and NHTSA recall records; observed in 5 model year(s).
Acura,ZDX,Type S,Trim,2024; 2026,2024,2026,2,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,ZDX AWD Type S,Value explicit in EPA certification model strings; observed in 2 model year(s).
Aston Martin,DB-7,GT,Trim,2003,2003,2003,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,DB-7 GT Coupe,Value explicit in EPA certification model strings; observed in 1 model year(s).
Aston Martin,Vantage,GT,Trim,2015-2016,2015,2016,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Vantage GT,Value explicit in EPA certification model strings; observed in 2 model year(s).
Audi,Coupe,GT,Trim,1984-1987,1984,1987,1,Discontinued,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1984&make=AUDI&issueType=r,2026-07-18,Added - External Research (V2),No,COUPE GT,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s).
Audi,e-tron GT,RS,Trim,2022-2026,2022,2026,1,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2022&make=AUDI&issueType=r,2026-07-18,Added - External Research (V2),No,AUDI RS E-TRON GT,Value explicit in EPA certification model strings and NHTSA recall records; observed in 5 model year(s).
Audi,R8,GT,Trim,2023,2023,2023,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,R8 GT RWD,Value explicit in EPA certification model strings; observed in 1 model year(s).
Audi,S e-tron,GT,Trim,2025-2026,2025,2026,1,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2025&make=AUDI&issueType=r,2026-07-18,Added - External Research (V2),No,S E-TRON GT,Value explicit in EPA certification model strings and NHTSA recall records; observed in 2 model year(s).
BMW,3 Series,Sport,Trim,2001-2010; 2012,2001,2012,2,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,325i Sport Wagon,Value explicit in EPA certification model strings; observed in 11 model year(s).
BMW,3 Series,Touring,Trim,2000,2000,2000,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,323i Touring,Value explicit in EPA certification model strings; observed in 1 model year(s).
BMW,5 Series,GT,Trim,2010-2016,2010,2016,1,Discontinued,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2010&make=BMW&issueType=r,2026-07-18,Added - External Research (V2),No,5 SERIES GT,Value explicit in EPA certification model strings and NHTSA recall records; observed in 7 model year(s).
BMW,5 Series,Sport,Trim,2000-2003; 2006-2010,2000,2010,2,Discontinued,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2000&make=BMW&issueType=r,2026-07-18,Added - External Research (V2),No,5 SERIES SPORT WAGON,Value explicit in EPA certification model strings and NHTSA recall records; observed in 9 model year(s).
BMW,5 Series,Touring,Trim,1992-1995; 1999,1992,1999,2,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,525i Touring,Value explicit in EPA certification model strings; observed in 5 model year(s).
BMW,M4,GTS,Trim,2016,2016,2016,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,M4 GTS,Value explicit in EPA certification model strings; observed in 1 model year(s).
BMW,M5,Touring,Trim,2025-2026,2025,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,M5 Touring,Value explicit in EPA certification model strings; observed in 2 model year(s).
Bentley,Continental,GT,Trim,2004-2010; 2012-2018; 2020-2026,2004,2026,3,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2004&make=BENTLEY&issueType=r,2026-07-18,Added - External Research (V2),No,CONTINENTAL GT,Value explicit in EPA certification model strings and NHTSA recall records; observed in 21 model year(s).
Chevrolet,Blazer EV,SS,Trim,2025-2026,2025,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Blazer EV AWD SS,Value explicit in EPA certification model strings; observed in 2 model year(s).
Chevrolet,Chevy Van (G-Series),Sport,Trim,1984-1993,1984,1993,1,Discontinued,Van,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,G10/20 Sport Van 2WD,Value explicit in EPA certification model strings; observed in 10 model year(s).
Chevrolet,Cobalt,SS,Trim,2010,2010,2010,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Cobalt SS Coupe,Value explicit in EPA certification model strings; observed in 1 model year(s).
Chevrolet,Cruze,Limited,Trim,2016,2016,2016,1,Discontinued,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2016&make=CHEVROLET&issueType=r,2026-07-18,Added - External Research (V2),No,CRUZE LIMITED,Value explicit in EPA certification model strings and NHTSA recall records; observed in 1 model year(s).
